"හම්බන්නතොට 
Tangalle","2018.08.20","1","3","","","","","1","","","","",""
"දකුනු 
15
High Wind
`k;ghe;Njhl;il","","","","","","","","","","","","",""
"Weeraketiya
පලාත/njd; 
Hambantota","2018.08.24","1","5","","","","","1","","","","",""
"khfhzk;/","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","2","8","0","0","0","0","2","0","0","0","0","0"
"Southern/","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","2","8","0","0","0","0","2","0","0","0","0","0"
"ලකොළඹ/nfhOk;G/","","","","","","","","","","","","",""
"Western/ 
16
Ratmalana","Coastal Erosion
2018.08.27","3","12","","","","","2","","","","",""
"Colombo","","","","","","","","","","","","",""
"Nky;","","","","","","","","","","","","",""
"khfhzk;බස්
දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","3","12","0","0","0","0","2","0","0","0","0","0"
"නාහිර පලාත","","","","","","","","","","","","",""
"","","3","12","0","0","0","0","2","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","159327","534902","2","3","5","7","148","1","1","3","47","183"
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
