"","Dehiowita","","7","21"
"","Galigamuwa","","5","23"
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","122","480"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","228","894"
"ලයඹ ප඼෈ත","Arachchikattuwa","2019.01.24","1598","5719"
"tlNky;","","","",""
"","Mundalama","","2041","7404"
"khfhzk;","","2019.01.24","",""
"North Western","Pallama","","1823","6173"
"","Mahawewa","2019.01.24","2164","8238"
"","Drought
Naththandiya","2019.01.24","1019","3365"
"","Nawagaththegama","2019.01.24","148","392"
"","Wanathavilluwa","","455","1572"
"","Karuwalagaswewa","2019.01.24","1137","3348"
"","පුත්ත඼ම","","",""
"","Mahakubukkadawala","","3042","9562"
"","3
Gj;jsk","","",""
"","Mahawewa
Puttalam","","3","12"
"","Lightning","2019.06.07","",""
