"","","","","","","Page 2","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","Pothuvil","","","1306","4678","","","","","","","","","",""
"","","Lahugala","","","2668","7959","","","","2","2","","","","",""
"","","Mahaoya","","","1006","3490","","","","","","","","","",""
"","","Dehiattakandiya","Flood","","77","279","","","","9","68","","","","",""
"","","Ninthavur","","","7","35","","","","","1","","","","",""
"","","Ampara","","","9","22","","","1","","9","1","","","","Missing due to Drawning"
"","අම්පොර","","","2019.12.20","","","","","","","","","","","",""
"","","","","","2","10","","","","2","","","","","",""
"4","mk;ghu","Damana","","","","","","","","","","","","","",""
"","","","Heavy Rain","","6","25","","","","","6","","","","",""
"","Ampara","","","","","","","","","","","","","","",""
"නැමගනහිර පලොත","","","","","","","","","","","","","","","",""
"","","Uhana","","","51","169","","","","","51","","","","",""
"fpof;F     Eastern","","","","","","","","","","","","","","","",""
"","","Padiyathalawa","","","53","175","","","","2","51","","","","",""
"","","","Flood","","","","","","","","","","","","",""
"","","Kalmunai North","","","5","14","","","","","5","","","","",""
"","","","","","1","5","","","","","1","","","","",""
"","","Irakkamam","","","","","","","","","","","","","",""
"","","","","2019.12.22","2","10","","","","","2","","","","",""
"","","","High Wind","","","","","","","","","","","","",""
"","","Sainthamarudu","","2019.12.20","2","8","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","5195","16879","0","0","1","15","198","1","0","0","0","0"
"","","","","","","","","","","","","","","","","01.T/Mawadichchenai"
"","","Verugal","","","144","464","","","","","","","","2","138","GTMS                                  
448"
"","","","","","","","","","","","","","","","","02. Vaddavan RDS"
"","ත්‍රීකුණො ලය","","","","","","","","","","","","","","",""
"","","Kinniya","","","751","2910","","","","","7","","","","",""
"5","jp.kiy","","Flood","2019.12.22","","","","","","","","","","","",""
"","Trincomalee","Kanthale","","","1","3","","","","","1","","","","",""
"","","Kuchchaveli","","","591","2116","","","","","","","","","",""
"","","Seruwela","","","36","105","","","","","","","","","",""
"","","Thambalagamam","","","1","5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1524","5603","0","0","0","0","9","0","0","2","138","448"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","12795","42885","0","0","1","16","234","1","0","2","138","448"
"","","Pasbagekorale","High Wind","2019.12.20","1","3","","","","","1","","","","",""
"","","Kundasale","Cutting Failure","2019.12.20","46","171","","","","1","10","5","","1","14","60 Community center-"
"","","","","","","","","","","","","","","","","Deliwala"
"","","Hatharaliadada","Rock fallan","2019.12.19","1","1","","","","1","","","","","",""
"","","Minipe","High wind","2019.12.20","69","258","","","","","28","","","1","33","126 Thorapitiya Temple"
"","","Panvila","","2019.12.19","27","120","","","","","9","","","1","17","70"
"","හනුවර","Pathadumbara","","2019.12.20","4","15","","","","","3","1","","","",""
"6","fz;b","","","","","","","","","","","","","","",""
"","","Delthota","Landslide Risk","2019.12.20","5","19","","","","","5","","","","",""
"","Kandy","","","","","","","","","","","","","","",""
"","","Medadumbara","","2019.12.21","23","88","","","","1","17","","","","",""
"","","Thumpane","","2019.12.20","2","8","","","","","2","","","","",""
"","","Pathahewahata","Heavy Rain","2019.12.20","15","50","","","","","14","","","","",""
"","","Akurana","Cutting Failure","2019.12.20","3","10","","","","","2","","","","",""
"","","Udunuwara","Landslide","2019.12.20","1","4","","","","","1","","","","",""
"","","Udapalatha","Heavy Rain","2019.12.20","2","9","","","","","2","","","","",""
"","","Ududumbara","Landslide Risk","2019.12.20","41","161","","","","1","7","","","1","14","60 Sri Sudrmarama Temple"
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","240","917","0","0","0","4","101","6","0","4","78","316"
"","","","","2019.12.04-05","","","","","","","","","","1","2","11 Lipakele Childcare Center"
"","","","Landslide","","","","","","","","","","","","",""
"","","Nuwara Eliya","","","","","","","","","","","","","",""
"","","","","2019.12.19","1","5","","","","1","","","","1","1","5 Headrest Cultural Central"
"","","","Flood","2019.12.20","2","11","","","","","","","","1","2","11 Park School"
"","","","","","","","","","","","","","","","","01. Munwatte Temple,"
