"","","","","","Page 4","","","","","","","","",""
"අනුරාධ්‍පුර","","","","","","","","","","","","","",""
"උතුරුමැද","","","","","","","","","","","","","",""
"17
Talawa
m.Guk;","High Wind","2020.04.16","2","7","","","","","2","","","","",""
"පලාත/tlkj;jpa","","","","","","","","","","","","","",""
"Anuradhapura","","","","","","","","","","","","","",""
"khfhzk;/ North","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Central/","","","2","7","0","0","0","0","2","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","7","0","0","0","0","2","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","136042","515864","0","1","0","0","1285","130","16","1","5","26"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
