"","","","","","","","","","","","Enterprises","Infrastructure","Locations","","",""
"","","","","","","","","","","","Damages","","","","",""
"","","","","","","","","","","","","","","","","1. Koslanda watta tea"
"","","","","","","","","","","","","","","","","factory 2.Dambethenna"
"","","","","","","","","","","","","","","","","3.Poonagala Tea"
"","","","Landslide Risk","2023.10.14-27","","","","","","","","","5","131","427","Factory 4.Bathgoda"
"","","","","","","","","","","","","","","","","Tamil School"
"","","","Haldumulla","","","","","","","","","","","","","5.Haldumulla No 02"
"","","","","","","","","","","","","","","","","Tamil Collage"
"","","","","","","","","","","","","","","","","Currently staying at"
"","","බදුල්ල","","","","","","","","","","","","","","relative's house."
"","","","Landslide Risk","2023.12.09
31","141","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(Date & Time ="
"","1","gJs;is","","","","","","","","","","","","","",""
"ඌෙ","","","","","","","","","","","","","","","","10.12.2023,0900 hrs)"
"","","Badulla","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","",""
"","","","Bandarawela
Cutting Faliure","2023.10.14-11.16","","","","","","","","","1","3","","7 Udaperuwa Muslim"
"","","","","","","","","","","","","","","","","Mosque"
"Uva","","","","","","","","","","","","","","","",""
"","","","Landslide Risk","2023.10.23","","","","","","","","","1","9","","22 Galkanda Muthuwana"
"","","","","","","","","","","","","","","","","School"
"","","","Haputhale","","","","","","","","","","","","",""
"","","","Landslide Risk","2023.10.22","","","","","","","","","1","17","","81 Kalban Vidyalaya"
"","","","Landslide Risk","2023.11.20","","","","","","","","","1","7","","26 Glanor Tamil School"
"","","","Uwa Paranagama
Landslide Risk","2023.11.14","","","","","","","","","1","7","","19  Thuparama Temple"
"","","","Ella
Heavy Rain","2023.11.23","","","","","","","","","1","2","","7 Karandagolle temple"
"","","දිස්ික් එ තුෙ/khtl;l $l;Lj;njhif/District Total","","31","141","0","0","0","0","0","0","0","11","176","589",""
"","","පළාත් ඵ තුෙ/ khfhz $l;Lj;njhif/Province Total","","31","141","0","0","0","0","0","0","0","11","176","589",""
"","","ගාල්ල","","","","","","","","","","","","","",""
"","2","","Bope Poddala
Cutting Faliure","2023.12.09","","3","2","","","","","","","","",""
"දකුනු පලාත","","fhyp       Galle","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","",""
"Southern","","දිස්ික් එ තුෙ/khtl;l $l;Lj;njhif/District Total","","0","0","3","2","0","0","0","0","0","0","0","0",""
"","","පළාත් ඵ තුෙ/ khfhz $l;Lj;njhif/Province Total","","0","0","3","2","0","0","0","0","0","0","0","0",""
"","","ක ාළඹ","","","","","","","","","","","","","",""
"","3","","Kesbewa
High Wind","2023.12.08","","","","","","1","","","","","",""
"Western","","nfhOk;G Colombo","","","","","","","","","","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","","",""
