"","","","","Cutting Faliure","2023.12.19","1","1","","","","","1","","","","",""
"","","නුවරඑලිය","","","","","","","","","","","","","","",""
"","","","Haguranketha","","","","","","","","","","","","","",""
"","5","Etnuypah","","Heavy Rain","2023.12.27","1","5","","","","","1","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","",""
"","","Nuwara Eliya","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","Kothmale","Heavy Rain","2023.12.18/21/27","6","26","","","","","6","","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","8","32","0","0","0","0","8","0","0","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","8","32","0","0","0","0","8","0","0","0","0","0"
"","","පුත්තලම","Anamaduwa","Heavy Rain","2023.12.27","1","2","","","","","1","","","","",""
"","6","Gj;jsk;","","","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","","",""
"","","Puttalam","Mahakubukkadawala","Heavy Rain","2023.12.27","1","2","","","","","1","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","","","",""
"North Western","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","2","4","0","0","0","0","2","0","0","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","2","4","0","0","0","0","2","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","334","1198","0","0","0","42","69","0","0","9","136","465"
"","","","","","","","","ආපදා කළමනාකරණ මධ්‍යසරථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
