"மாவட்டம் District","","","Families","People","","People","People","","","Partially","சேதங்கள்; Small,","","Damages to","","f   No.","s;","","Persons"
"Division","","","","","","","","Fully","","","","","","","","","",""
"","","","","","","","","","","","Medium,","","critical","","of Safety","Families","",""
"","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","","",""
"","","","","","","","","","","","Damages","","","","","","",""
"කිලින ොච්චිය","","","","","","","","","","","","","","","","","",""
"1
Pachchilaipalli
fpspnehr;rp","Heavy Rain","2024.12.14","76","228","","","","","","","","","","","","","",""
"Killinochchi","","","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","76","228","0","0","0","","0","0","","0","","0","0","","0","0"
"Velanai","","2024.12.10","1","5","","","","","","1","","","","","","","",""
"Chanakanai","","2024.12.11","2","9","","","","","","2","","","","","","","",""
"උතුරු පලොත","","","","","","","","","","","","","","","","","",""
"Sandilippay","","","2","3","","","","","","2","","","","","","","",""
"යොප ය 
tl khfhzk;","","","","","","","","","","","","","","","","","",""
"","High Wind & Flash","2024.12.12","","","","","","","","","","","","","","","",""
"2
aho;g;ghzk;    
Chavakachcheri
Northen","","","38","135","","","","","","1","","2","","","2","","35","123 1. Pokaddi ATM School   2."
"","Flood","","","","","","","","","","","","","","","","",""
"Jaffna","","","","","","","","","","","","","","","","","",""
"Kopay","","","1","1","","","","","","1","","","","","","","",""
"","","2024.12.13","","","","","","","","","","","","","","","",""
"Karainagar","","","19","54","","","","","","","","","","","","","",""
"Karaveddi","","2024.12.14","112","336","","","","","","1","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","175","543","0","0","0","","0","8","","2","","0","2","","35","123"
"පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","251","771","0","0","0","","0","8","","2","","0","2","","35","123"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","251","771","0","0","0","","0","8","","2","","0","2","","35","123"
