"","ප්‍රධාන  නගර සදහා කාෙගුණ අනාවැකිය","","","දිනය :     2023-03-29",""
"","උෂ්ණත්වය(ලස. අංශ්‍ක)","","සාලේක්ෂ ආර්තරතාවය(%)","",""
"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","25","95","50","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","31","25","95","65","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","32","26","90","70","සවස 4.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ගාල්ල","30","25","90","75","සවස 4.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යාපනය","33","24","85","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","32","21","95","60","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","23","9","90","55","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","34","24","95","65","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ිකුණාමලය","33","25","90","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","33","26","90","65","සවස 4.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
