"","Weather Forecast for Main Cities","","","","27-Aug-2023"
"","Temperature (0C)","","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","45","Mainly fair"
"Batticaloa","32","26","85","65","Mainly fair"
"Colombo","32","26","85","70","A few showers"
"Galle","31","27","90","75","A few showers"
"Jaffna","33","27","80","60","Mainly fair"
"Kandy","33","21","90","55","A few showers"
"Nuwara-Eliya","23","12","90","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","24","90","60","A few showers"
"Trincomalee","37","25","85","50","Mainly fair"
"Mannar","32","28","80","60","Mainly fair"
"","ප්‍රධාන  න ර ස්දහා කාෙගුණ අනාවැකිය","","","","2023-08-27"
"","උෂතණත්වය(ගස්. අංශ්‍ක)","","ස්ාගේක්ෂ ආර්ද්‍රතාවය(%)","",""
"න රය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","36","25","90","45","ප්‍රධාන වශවයේ වැසි රහිත"
"මඩකලපුව","32","26","85","65","ප්‍රධාන වශවයේ වැසි රහිත"
"වකාළඹ","32","26","85","70","වැසි ස්වල්පයක්"
"ගාල්ල","31","27","90","75","වැසි ස්වල්පයක්"
"යාපනය","33","27","80","60","ප්‍රධාන වශවයේ වැසි රහිත"
"මහනුවර","33","21","90","55","වැසි ස්වල්පයක්"
"නුවරඑළිය","23","12","90","60","සවස 2.00ේ පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"රත්නපුරය","36","24","90","60","වැසි ස්වල්පයක්"
"ිකුණාමලය","37","25","85","50","ප්‍රධාන වශවයේ වැසි රහිත"
"මේනාරම","32","28","80","60","ප්‍රධාන වශවයේ වැසි රහිත"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","36","25","90","45","பிரதானமாக சீரான வானிலை"
"மட்டக்களப்பு","32","26","85","65","பிரதானமாக சீரான வானிலை"
"வகாழும் பு","32","26","85","70","சிறிதளவிை்  மலை பெய் யும்"
"காலி","31","27","90","75","சிறிதளவிை்  மலை பெய் யும்"
"யாழ் ப்பாணம்","33","27","80","60","பிரதானமாக சீரான வானிலை"
"கண் டி","33","21","90","55","சிறிதளவிை்  மலை பெய் யும்"
"","","","","","பி.ெ. 2.00 மணிக்குெ் பின் னர் மலை அை் ைது இடியுடன்  கூடிய"
"நுவவரலியா","23","12","90","60",""
"","","","","","மலை பெய் யும் சாத்தியம்"
"இரத்தினபுரி","36","24","90","60","சிறிதளவிை்  மலை பெய் யும்"
"திருககாணமலை","37","25","85","50","பிரதானமாக சீரான வானிலை"
"மன் னார்","32","28","80","60","பிரதானமாக சீரான வானிலை"
