"දිනය/කේලොව)","ස
්ථොනය","උපරිම සුළකේ කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලෙං ො පැය)","(උතුරු අක්්ොෙංශ oN","",""
"","නැකගනහිර","",""
"","කේශොෙංශ  oE)","",""
"01.12.23/2330","10.4/84.7","40-50 විටින් විට 60 ෙක්වා","පීඩන අවපාතයක්"
"02.12.23/1130","11.2/83.3","50-60 විටින් විට 70 ෙක්වා","ගැඹුරු පීඩන අවපාතයක්"
"02.12.23/2330","11.9/82.3","55-65 විටින් විට 75 ෙක්වා","සුළි කුණාටුවක්"
"03.12.23/1130","12.5/81.5","60-70 විටින් විට 80 ෙක්වා","සුළි කුණාටුවක්"
"03.12.23/2330","13.1/81.0","75-85 විටින් විට 95 ෙක්වා","සුළි කුණාටුවක්"
"04.12.23/1130","13.9/80.5","75-85 විටින් විට 95 ෙක්වා","සුළි කුණාටුවක්"
"04.12.23/2330","14.9/80.3","80-90 විටින් විට 100 ෙක්වා","සුළි කුණාටුවක්"
"05.12.23/1130","15.8/80.5","60-70 විටින් විට 80 ෙක්වා","සුළි කුණාටුවක්"
"05.12.23/2330","16.7/81.2","55-65 විටින් විට 75 ෙක්වා","සුළි කුණාටුවක්"
