"","Weather Forecast for Main Cities","","","","2024-07-13"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","85","55","Mainly fair"
"Batticaloa","33","27","85","60","Showers or thundershowers after 2.00p.m"
"Colombo","30","24","95","80","Showers at times"
"Galle","28","26","95","80","Showers at times"
"Jaffna","33","27","85","65","A few showers"
"Kandy","27","22","95","80","Several spells of showers"
"Nuwara-Eliya","18","14","95","80","Several spells of showers"
"Ratnapura","32","24","95","80","Showers at times"
"Trincomalee","35","27","80","50","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","80","70","A few showers"
