"","","","","திகதி :","2024-08-05"
"","முன் னறிவித்தை்","","","",""
"","","வவப்பநிலை (0C)","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல்லது இடியுடன்  கூடிய"
"அனுராதபுரம்","36","26","85","55",""
"","","","","","மழை பபய் யும்  சாத்தியம்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல்லது இடியுடன்  கூடிய"
"மட்டக்களப்பு","32","26","85","65",""
"","","","","","மழை பபய் யும்  சாத்தியம்"
"வகாழும் பு","30","27","80","70","அவ் வப்பபாது மழை பபய் யும்"
"காலி","29","27","85","75","அவ் வப்பபாது மழை பபய் யும்"
"யாழ் ப்பாணம்","33","27","85","65","சிறிதளவில்  மழை பபய் யும்"
"கண் டி","30","21","95","65","அவ் வப்பபாது மழை பபய் யும்"
"நுவவரலியா","19","12","95","75","அவ் வப்பபாது மழை பபய் யும்"
"இரத்தினபுரி","32","24","95","70","அவ் வப்பபாது மழை பபய் யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல்லது இடியுடன்  கூடிய"
"திருககாணமலை","35","25","95","50",""
"","","","","","மழை பபய் யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல்லது இடியுடன்  கூடிய"
"மன் னார்","32","26","90","70",""
"","","","","","மழை பபய் யும்  சாத்தியம்"
