"","Weather Forecast for Main Cities","","","","2024-08-23"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","90","65","Mainly fair"
"Batticaloa","32","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","24","95","85","Several spells of showers"
"Galle","31","25","95","85","Several spells of showers"
"Jaffna","31","27","90","75","Mainly fair"
"Kandy","31","21","95","65","Several spells of showers"
"Nuwara-Eliya","22","16","95","70","Several spells of showers"
"Ratnapura","34","23","95","80","Several spells of showers"
"Trincomalee","33","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","26","90","70","Mainly fair"
