"","Weather Forecast for Main Cities","","","Date :","2024-09-05"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","65","Mainly fair"
"Batticaloa","34","26","85","60","Showers or thundershowers are likely after 4.00p.m"
"Colombo","30","25","90","80","Several spells of showers"
"Galle","29","27","95","80","Several spells of showers"
"Jaffna","33","28","85","70","Mainly fair"
"Kandy","26","23","95","80","Several spells of light showers"
"Nuwara-Eliya","18","15","95","85","Several spells of light showers"
"Ratnapura","30","25","95","80","Showers or thundershowers at times"
"Trincomalee","35","26","85","50","Mainly fair"
"Mannar","32","28","90","75","Mainly fair"
