"","","විටින් විට වැසි ව ෝ","විටින් විට වැසි ව ෝ","විටින් විට වැසි ව ෝ"
"","කුරුණෑගල","","",""
"","","ගිගුරුම් සහිත වැසි.","ගිගුරුම් සහිත වැසි.","ගිගුරුම් සහිත වැසි."
"වයඹ","","","",""
"","","","විටින් විට වැසි ව ෝ","විටින් විට වැසි ව ෝ"
"","","","ගිගුරුම් සහිත වැසි,","ගිගුරුම් සහිත වැසි,"
"","","විටින් විට වැසි ව ෝ","",""
"","පුත්තලම","","ඇතැම් ස්ථොන වලට","ඇතැම් ස්ථොන වලට මි.මි."
"","","ගිගුරුම් සහිත වැසි.","",""
"","","","මි.මි. (100-150) දක්වො","(75-100) දක්වො තරමක"
"","","","තද වැසි","තද වැසි"
"","","විටින් විට වැසි ව ෝ","විටින් විට වැසි ව ෝ",""
"","","ගිගුරුම් සහිත වැසි,","ගිගුරුම් සහිත වැසි,",""
"","","","","විටින් විට වැසි ව ෝ"
"","ම නුවර","ඇතැම් ස්ථොන වලට මි.මි.","ඇතැම් ස්ථොන වලට",""
"","","","","ගිගුරුම් සහිත වැසි."
"","","(75-100) දක්වො තරමක","මි.මි. (75-100) දක්වො",""
"","","තද වැසි","තරමක තද වැසි",""
"","","විටින් විට වැසි ව ෝ","විටින් විට වැසි ව ෝ",""
"","","ගිගුරුම් සහිත වැසි,","ගිගුරුම් සහිත වැසි,",""
"","","","","විටින් විට වැසි ව ෝ"
"මධ්‍යම","නුවරඑළිය","ඇතැම් ස්ථොන වලට මි.මි.","ඇතැම් ස්ථොන වලට",""
"","","","","ගිගුරුම් සහිත වැසි."
"","","(75-100) දක්වො තරමක","මි.මි. (75-100) දක්වො",""
"","","තද වැසි","තරමක තද වැසි",""
"","","විටින් විට වැසි ව ෝ","විටින් විට වැසි ව ෝ",""
"","","ගිගුරුම් සහිත වැසි,","ගිගුරුම් සහිත වැසි,",""
"","","","","විටින් විට වැසි ව ෝ"
"","මොතවල්","ඇතැම් ස්ථොන වලට මි.මි.","ඇතැම් ස්ථොන වලට",""
"","","","","ගිගුරුම් සහිත වැසි."
"","","(75-100) දක්වො තරමක","මි.මි. (75-100) දක්වො",""
"","","තද වැසි","තරමක තද වැසි",""
