doc_type	doc_id	num	date_str	description	url_metadata	lang	url_pdf	time_str	ut
lk_dmc_weather_forecasts	2026-02-03-12-00-advisory-for-seve-8f4c0da7	12-00-advisory-for-severe-lightning	2026-02-03	Advisory for Severe Lightning	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Advisory_for_Severe_Lightning_at_1200noon_on_03__1770101822.pdf	12:00	1770100200.0
lk_dmc_weather_forecasts	2026-02-03-07-00-weather-forcast	07-00-weather-forcast	2026-02-03	Weather Forcast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_forecast_for_Multiday_Boats___1770085127.pdf	07:00	1770082200.0
lk_dmc_weather_forecasts	2026-02-03-05-30-weather-forcast	05-30-weather-forcast	2026-02-03	Weather Forcast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_report_merged_Report___1770078849.pdf	05:30	1770076800.0
lk_dmc_weather_forecasts	2026-02-02-16-00-weather-report	16-00-weather-report	2026-02-02	Weather Report	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1600hrs_on_2026__1770029435.pdf	16:00	1770028200.0
lk_dmc_weather_forecasts	2026-02-02-14-00-weather-forecast	14-00-weather-forecast	2026-02-02	Weather Forecast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1400hrs_on_02__1770022650.pdf	14:00	1770021000.0
lk_dmc_weather_forecasts	2026-02-02-12-00-advisory-for-seve-8f4c0da7	12-00-advisory-for-severe-lightning	2026-02-02	Advisory for Severe Lightning	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Advisory_for_Severe_Lightning_at_1200noon_on_02__1770014908.pdf	12:00	1770013800.0
lk_dmc_weather_forecasts	2026-02-02-05-30-weather-report	05-30-weather-report	2026-02-02	weather report	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_0530hrs_on_2026__1769990876.pdf	05:30	1769990400.0
lk_dmc_weather_forecasts	2026-02-01-16-00-weather-forecast--2c3f4dc6	16-00-weather-forecast-tamil-language	2026-02-01	Weather Forecast (Tamil Language)	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1600hrs_on_2026__1769944382.pdf	16:00	1769941800.0
lk_dmc_weather_forecasts	2026-02-01-16-00-weather-forcast	16-00-weather-forcast	2026-02-01	Weather Forcast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1600hrs_on_2026__1769942574.pdf	16:00	1769941800.0
lk_dmc_weather_forecasts	2026-02-01-14-00-weather-forecast--eb2ff5a1	14-00-weather-forecast-tamil-language	2026-02-01	Weather Forecast (Tamil Language)	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1400hrs_on_2026__1769936818.pdf	14:00	1769934600.0
lk_dmc_weather_forecasts	2026-02-01-14-00-weather-forecast	14-00-weather-forecast	2026-02-01	Weather Forecast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1400hrs_on_01__1769935786.pdf	14:00	1769934600.0
lk_dmc_weather_forecasts	2026-02-01-12-00-advisory-for-seve-8f4c0da7	12-00-advisory-for-severe-lightning	2026-02-01	Advisory for Severe Lightning	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Advisory_for_Severe_Lightning_at_1200noon_on_01__1769928048.pdf	12:00	1769927400.0
lk_dmc_weather_forecasts	2026-02-01-12-00-advisory-for-seve-065b3daf	12-00-advisory-for-severe-lightning-tamil-language	2026-02-01	Advisory for Severe Lightning (Tamil Language)	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Advisory_for_Severe_Lightning_at_1200noon_on_01__1769929199.pdf	12:00	1769927400.0
lk_dmc_weather_forecasts	2026-02-01-05-30-weather-report	05-30-weather-report	2026-02-01	Weather Report	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_0530hrs_on_01__1769905173.pdf	05:30	1769904000.0
